"Year"	"Month"	"State"	"Location"	"Food"	"Ingredient"	"Species"	"Serotype"	"Status"	"Illnesses"	"Hospitalizations"	"Fatalities"
1998	"January"	"Maryland"	"Restaurant"	"Burrito, Chicken"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	4	0	0
1998	"January"	"Maryland"	"Restaurant"	"Unkown"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	3	0	0
1998	"January"	"Maryland"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Maryland"	"Restaurant"	"Cake, Tiramisu; Eggs, Other"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	8	0	0
1998	"January"	"Maryland"	"Private Home/Residence"	"Chicken Salad"	"NA"	"Salmonella enterica"	"Typhimurium"	"Confirmed"	5	1	0
1998	"January"	"Maryland"	"Restaurant"	"Chicken Fried Rice"	"NA"	"Clostridium perfringens"	"Unkown"	"Suspected"	4	0	0
1998	"January"	"Maryland"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"January"	"Massachusetts"	"Restaurant"	"Dips, Unspecified"	"NA"	"Shigella sonnei"	"Unkown"	"Confirmed"	79	6	0
1998	"January"	"Massachusetts"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	115	0	0
1998	"January"	"Michigan"	"Restaurant"	"Rice, Unspecified; Lettuce, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	5	0	0
1998	"January"	"Michigan"	"Unkown"	"Sandwich, Roast Beef"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Michigan"	"Restaurant"	"Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	3	3	0
1998	"January"	"Minnesota"	"Unkown"	"Unkown"	"NA"	"Shigella sonnei"	"Unkown"	"Confirmed"	19	0	0
1998	"January"	"Minnesota"	"Restaurant"	"Blue Cheese Dressing"	"NA"	"Unkown"	"Unkown"	"Pending"	16	0	0
1998	"January"	"Multistate"	"Private Home/Residence"	"Eggnog, Homemade"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	4	0	0
1998	"January"	"New York"	"Restaurant"	"Unkown"	"NA"	"Salmonella enterica"	"Group D1"	"Confirmed"	3	1	0
1998	"January"	"New York"	"Catering Service"	"Unspecified Fruit"	"NA"	"Unkown"	"Unkown"	"Pending"	26	0	0
1998	"January"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"January"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"January"	"Oregon"	"Unkown"	"Homemade Cheese, Unspecified"	"NA"	"Salmonella enterica"	"Typhimurium"	"Confirmed"	8	0	0
1998	"January"	"Pennsylvania"	"Unkown"	"Cake, Unspecified; Ice Cream, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	23	0	0
1998	"January"	"Pennsylvania"	"Restaurant; Catering Service"	"Pasta, Unspecified; Meatballs"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	4	2	0
1998	"January"	"Pennsylvania"	"Restaurant"	"Chicken, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	16	0	0
1998	"January"	"Pennsylvania"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	17	0	0
1998	"January"	"Virginia"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	13	0	0
1998	"January"	"Washington"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"January"	"Washington"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"January"	"Wisconsin"	"Catering Service"	"Beef, Unspecified"	"NA"	"Clostridium perfringens"	"Unkown"	"Confirmed"	34	0	0
1998	"February"	"California"	"Restaurant"	"Enchilada, Chicken"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	10	1	0
1998	"February"	"Colorado"	"Restaurant"	"Refried Beans, Unspecified; Peppers, Chili"	"NA"	"Clostridium perfringens"	"Unkown"	"Confirmed"	10	0	0
1998	"February"	"Florida"	"Restaurant"	"Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	39	0	0
1998	"February"	"Florida"	"Restaurant"	"Pork, Bbq; Beans, Baked"	"NA"	"Clostridium perfringens"	"Unkown"	"Suspected"	3	0	0
1998	"February"	"Florida"	"Unkown"	"Hot Dog, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	8	0	0
1998	"February"	"Florida"	"Restaurant"	"Beef, Other"	"NA"	"Clostridium perfringens"	"Unkown"	"Suspected"	3	0	0
1998	"February"	"Florida"	"Restaurant"	"Chicken, Buffalo Wings"	"NA"	"Unkown"	"Unkown"	"Pending"	6	0	0
1998	"February"	"Florida"	"Restaurant"	"Chicken, Other"	"NA"	"Unkown"	"Unkown"	"Pending"	2	1	0
1998	"February"	"Florida"	"Grocery Store"	"Oil, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Florida"	"Unkown"	"Burrito, Unspecified"	"NA"	"Staphylococcus aureus"	"Unkown"	"Suspected"	18	0	0
1998	"February"	"Florida"	"Unkown"	"Hot Dog, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Florida"	"Restaurant"	"Unkown"	"NA"	"Staphylococcus aureus"	"Unkown"	"Suspected"	8	0	0
1998	"February"	"Florida"	"Restaurant; Grocery Store"	"Pudding, Chocolate; Salad, Unspecified; Cake, Carrot"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"February"	"Florida"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	5	0	0
1998	"February"	"Florida"	"Restaurant"	"Salmon, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Florida"	"Unkown"	"Ethnic Style, Unspecified"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	4	0	0
1998	"February"	"Florida"	"Restaurant"	"Ethnic Style, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Florida"	"Catering Service"	"Rice, Unspecified"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	50	1	0
1998	"February"	"Florida"	"Restaurant"	"Rice, Unspecified"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	43	0	0
1998	"February"	"Florida"	"Restaurant"	"Cream Sauce, Unspecified"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	15	0	0
1998	"February"	"Florida"	"Restaurant"	"Ground Beef, Hamburger"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Florida"	"Restaurant"	"Wine"	"NA"	"Unkown"	"Unkown"	"Pending"	3	2	0
1998	"February"	"Florida"	"Restaurant"	"Ground Beef, Hamburger"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"February"	"Illinois"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	33	0	0
1998	"February"	"Indiana"	"Unkown"	"Macaroni Salad"	"NA"	"Staphylococcus aureus"	"Unkown"	"Confirmed"	101	0	0
1998	"February"	"Indiana"	"Restaurant"	"Crepe, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	9	0	0
1998	"February"	"Maryland"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	8	0	0
1998	"February"	"Maryland"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	17	0	0
1998	"February"	"Michigan"	"Restaurant"	"Pizza, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Michigan"	"Restaurant"	"Unspecified Fish; French Fries"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Minnesota"	"Restaurant; Private Home/Residence"	"Unkown"	"NA"	"Norovirus genogroup I"	"Unkown"	"Confirmed"	13	0	0
1998	"February"	"Minnesota"	"School/College/University"	"Ground Beef, Unspecified"	"NA"	"Clostridium perfringens; Staphylococcus aureus"	"Unkown"	"Suspected"	16	0	0
1998	"February"	"Nebraska"	"Restaurant"	"Steak, Prime Rib; Potato, Baked"	"NA"	"Clostridium perfringens"	"Unkown"	"Confirmed"	45	0	0
1998	"February"	"New Jersey"	"Restaurant"	"Unkown"	"NA"	"Shigella flexneri"	"Serotype 2 Unspecified"	"Confirmed"	10	6	0
1998	"February"	"New York"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	8	0	0
1998	"February"	"New York"	"Catering Service"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	17	0	0
1998	"February"	"New York"	"Catering Service"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	17	1	0
1998	"February"	"New York"	"Restaurant"	"Deli Meat, Multiple"	"NA"	"Yersinia enterocolitica"	"Unkown"	"Confirmed"	9	0	0
1998	"February"	"Ohio"	"Restaurant"	"Taco, Beef"	"NA"	"Unkown"	"Unkown"	"Pending"	2	1	0
1998	"February"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"February"	"Ohio"	"Private Home/Residence"	"Shrimp, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"February"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Ohio"	"Restaurant"	"Chicken, Nuggets/Fingers"	"NA"	"Unkown"	"Unkown"	"Pending"	3	1	0
1998	"February"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Oregon"	"Private Home/Residence"	"Oysters, Fried"	"Shellfish"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Oregon"	"Nursing Home/Assisted Living Facility"	"Unkown"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	29	2	0
1998	"February"	"Oregon"	"Restaurant"	"Caesar Salad"	"NA"	"Unkown"	"Unkown"	"Pending"	38	0	0
1998	"February"	"Oregon"	"Restaurant"	"Pasta-Based Salads Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	15	0	0
1998	"February"	"Pennsylvania"	"Restaurant"	"Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	20	0	0
1998	"February"	"Pennsylvania"	"Restaurant"	"Soda, Unspecified; Butter; Seafood, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	11	0	0
1998	"February"	"Pennsylvania"	"Restaurant"	"Soup, Other Seafood Chowder; Butter; Soda, Other"	"NA"	"Unkown"	"Unkown"	"Pending"	20	0	0
1998	"February"	"Pennsylvania"	"Restaurant"	"Unkown"	"NA"	"Salmonella enterica"	"Litchfield"	"Confirmed"	6	2	0
1998	"February"	"Pennsylvania"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	15	0	0
1998	"February"	"Washington"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"February"	"Washington"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"February"	"Washington"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Alabama"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	2	0
1998	"March"	"Alabama"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"California"	"Unkown"	"Sausage, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	5	1	0
1998	"March"	"California"	"Restaurant"	"Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	4	0	0
1998	"March"	"California"	"Private Home/Residence"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	7	0	0
1998	"March"	"California"	"Private Home/Residence"	"Ice Cream, Unspecified; Eggs, Other"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	6	1	0
1998	"March"	"California"	"Private Home/Residence"	"Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified"	"NA"	"Clostridium perfringens"	"Unkown"	"Confirmed"	48	0	0
1998	"March"	"California"	"Restaurant"	"Fish, Ahi"	"NA"	"Scombroid toxin"	"Unkown"	"Confirmed"	6	0	0
1998	"March"	"Florida"	"Restaurant"	"Salami, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	11	0	0
1998	"March"	"Florida"	"Restaurant"	"Taco, Beef"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Nachos, Unspecified"	"NA"	"Staphylococcus aureus"	"Unkown"	"Suspected"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Pasta, Unspecified; Chicken, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Florida"	"Restaurant"	"Multiple Foods"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Pizza, Meat"	"NA"	"Unkown"	"Unkown"	"Pending"	2	2	0
1998	"March"	"Florida"	"Restaurant"	"Chicken, Bbq"	"NA"	"Salmonella enterica"	"Unkown"	"Suspected"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Beans, Baked"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Florida"	"Restaurant"	"Steak, Other"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Sandwich, Unspecified; Salad, Unspecified"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	24	0	0
1998	"March"	"Florida"	"Restaurant"	"Ground Beef, Cheeseburger"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Pasta, Unspecified; Chicken, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	3	1	0
1998	"March"	"Florida"	"Restaurant"	"Pork, Bbq"	"NA"	"Staphylococcus aureus"	"Unkown"	"Suspected"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Fish, Sole"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"March"	"Florida"	"Restaurant"	"Pork, Bbq"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	2	0
1998	"March"	"Florida"	"Unkown"	"Sauces, Unspecified"	"NA"	"Bacillus cereus"	"Unkown"	"Suspected"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Chicken, Unspecified"	"NA"	"Salmonella enterica"	"Enteritidis"	"Suspected"	4	0	0
1998	"March"	"Florida"	"Restaurant"	"Ice"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	7	0	0
1998	"March"	"Florida"	"Restaurant"	"Cream, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Enchilada, Chicken"	"NA"	"Salmonella enterica"	"Unkown"	"Suspected"	3	0	0
1998	"March"	"Florida"	"Restaurant"	"Ice"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	8	0	0
1998	"March"	"Florida"	"School/College/University"	"Hot Dog, Unspecified"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	2	1	0
1998	"March"	"Florida"	"Restaurant"	"Sandwich, Chicken"	"NA"	"Staphylococcus aureus"	"Unkown"	"Suspected"	3	0	0
1998	"March"	"Florida"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Florida"	"Restaurant"	"Coleslaw"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Florida"	"Restaurant"	"Steak, Other"	"NA"	"Salmonella enterica"	"Unkown"	"Suspected"	2	0	0
1998	"March"	"Florida"	"Restaurant"	"Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Private Home/Residence"	"Cake, Chocolate"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Florida"	"Private Home/Residence"	"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified"	"NA"	"Clostridium perfringens"	"Unkown"	"Suspected"	18	0	0
1998	"March"	"Florida"	"School/College/University"	"Unkown"	"NA"	"Norovirus genogroup I"	"Unkown"	"Confirmed"	44	0	0
1998	"March"	"Florida"	"Restaurant"	"Unkown"	"NA"	"Campylobacter unknown"	"Unkown"	"Confirmed"	4	0	0
1998	"March"	"Florida"	"Restaurant"	"Cake, Unspecified; Water; Potato, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"March"	"Hawaii"	"Private Home/Residence"	"Unspecified Fish"	"NA"	"Ciguatoxin"	"Unkown"	"Confirmed"	2	0	0
1998	"March"	"Hawaii"	"Restaurant"	"Tart, Fruit"	"NA"	"Unkown"	"Unkown"	"Pending"	39	0	0
1998	"March"	"Hawaii"	"Restaurant"	"Fish, Swordfish"	"NA"	"Scombroid toxin"	"Unkown"	"Confirmed"	2	0	0
1998	"March"	"Illinois"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	6	0	0
1998	"March"	"Illinois"	"Restaurant"	"Hollandaise Sauce"	"NA"	"Salmonella enterica"	"Enteritidis"	"Confirmed"	2	0	0
1998	"March"	"Illinois"	"Restaurant"	"Mixed Fruit; Roast Beef, Unspecified"	"NA"	"Norovirus genogroup II"	"Unknown"	"Confirmed"	103	1	0
1998	"March"	"Illinois"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Illinois"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	9	0	0
1998	"March"	"Maryland"	"Restaurant; Catering Service"	"Milkshake; Nachos, Unspecified"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	26	0	0
1998	"March"	"Maryland"	"Restaurant"	"Other Cheese, Unspecified; French Fries"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Maryland"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Maryland"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Maryland"	"Restaurant"	"Chicken, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Michigan"	"Restaurant"	"Sushi, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Michigan"	"Restaurant"	"Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	2	1	0
1998	"March"	"Michigan"	"Restaurant"	"Sandwich, Submarine"	"NA"	"Unkown"	"Unkown"	"Pending"	15	0	0
1998	"March"	"Minnesota"	"Restaurant"	"Pasta Salad"	"NA"	"Shigella sonnei"	"Unkown"	"Confirmed"	30	1	0
1998	"March"	"Minnesota"	"Restaurant"	"Potato Salad; Vegetable Dip, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	7	0	0
1998	"March"	"Minnesota"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	4	0	0
1998	"March"	"New Mexico"	"Restaurant"	"Milk, 1% Milk Unpasteurized; Sauces, Unspecified"	"NA"	"Staphylococcus aureus"	"Unkown"	"Confirmed"	20	3	0
1998	"March"	"New York"	"Restaurant"	"Multiple Foods"	"NA"	"Unkown"	"Unkown"	"Pending"	17	0	0
1998	"March"	"New York"	"Restaurant"	"Salad, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	14	0	0
1998	"March"	"New York"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	9	0	0
1998	"March"	"Ohio"	"Restaurant"	"Chicken, Fried"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Ohio"	"Private Home/Residence"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	8	1	0
1998	"March"	"Ohio"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Ohio"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	5	0	0
1998	"March"	"Ohio"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	49	0	0
1998	"March"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	5	0	0
1998	"March"	"Ohio"	"Restaurant"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	2	0	0
1998	"March"	"Ohio"	"Restaurant"	"Onion Dip"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Ohio"	"Restaurant"	"Hollandaise Sauce"	"NA"	"Salmonella enterica"	"Montevideo"	"Confirmed"	4	1	0
1998	"March"	"Oregon"	"Restaurant"	"Unkown"	"NA"	"Norovirus genogroup I"	"Unkown"	"Suspected"	28	1	0
1998	"March"	"Oregon"	"Restaurant"	"Chicken, Fried"	"NA"	"Staphylococcus aureus"	"Unkown"	"Confirmed"	5	0	0
1998	"March"	"Pennsylvania"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	16	0	0
1998	"March"	"Pennsylvania"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Pennsylvania"	"Restaurant"	"Lettuce, Unspecified"	"NA"	"Unkown"	"Unkown"	"Pending"	3	0	0
1998	"March"	"Pennsylvania"	"Catering Service"	"Turkey And Stuffing"	"NA"	"Salmonella enterica"	"Heidelberg"	"Confirmed"	25	1	0
1998	"March"	"Tennessee"	"Unkown"	"Unkown"	"NA"	"Unkown"	"Unkown"	"Pending"	48	0	0
